store_id,sku_id,category,subcategory,brand,stock_on_hand,reorder_point,safety_stock,forecast_8_week_demand,stock_coverage_ratio,forecast_stockout_risk,forecast_overstock_risk,recommended_action,cost_price,stockout_units_at_risk,overstock_units_at_risk,stockout_value_at_risk,overstock_value_at_risk,total_value_at_stake
ST11,SKU02558,Dairy & Bakery,Butter & Ghee,PrimeCare,333,72,22,59.030707806894014,5.641131749416529,LOW,HIGH,Clear / Markdown,67.29,0.0,273.96929219310596,0.0,18435.3936716741,18435.3936716741
ST21,SKU01031,Health & Wellness,First Aid,PrimeCare,236,67,14,65.73623482248395,3.5901052233566664,LOW,HIGH,Clear / Markdown,419.47,0.0,170.26376517751606,0.0,71420.54157901267,71420.54157901267
ST26,SKU02129,Personal Care,Oral Care,UrbanBite,496,96,34,67.42987808597059,7.355789660002328,LOW,HIGH,Clear / Markdown,138.59,0.0,428.5701219140294,0.0,59395.533196065335,59395.533196065335
ST19,SKU02907,Apparel & Footwear,Kids Wear,NovaFresh,109,34,13,62.437375201577474,1.7457492351031139,LOW,MEDIUM,Watch / Reduce Orders,1152.38,0.0,46.562624798422526,0.0,53657.83756520616,53657.83756520616
ST05,SKU01023,Personal Care,Men's Grooming,CrispKing,333,97,22,59.60099720211101,5.5871548402248115,LOW,HIGH,Clear / Markdown,382.68,0.0,273.399002797889,0.0,104624.33039069617,104624.33039069617
ST08,SKU04475,Personal Care,Men's Grooming,GreenValley,345,90,29,60.35087562322161,5.716569916133115,LOW,HIGH,Clear / Markdown,89.89,0.0,284.6491243767784,0.0,25587.10979022861,25587.10979022861
ST01,SKU01318,Personal Care,Skin Care,FamilyChoice,92,24,9,60.27862796395832,1.5262457542167094,LOW,MEDIUM,Watch / Reduce Orders,221.19,0.0,31.72137203604168,0.0,7016.450280652059,7016.450280652059
ST13,SKU00389,Frozen Foods,Ready Meals,UrbanBite,212,49,15,62.147709025063016,3.411227916937442,LOW,HIGH,Clear / Markdown,411.18,0.0,149.85229097493698,0.0,61616.265003074586,61616.265003074586
ST25,SKU01675,Apparel & Footwear,Kids Wear,ValueChoice,289,77,32,67.72349300706392,4.2673522461379205,LOW,HIGH,Clear / Markdown,532.89,0.0,221.27650699293608,0.0,117916.0378114657,117916.0378114657
ST06,SKU01396,Health & Wellness,First Aid,GoldenHarvest,251,57,12,58.854902354143135,4.264725451240693,LOW,HIGH,Clear / Markdown,104.01,0.0,192.14509764585688,0.0,19985.011606145574,19985.011606145574
ST07,SKU04250,Health & Wellness,OTC Medicine,PureLife,348,79,27,62.74427330786705,5.54632290173272,LOW,HIGH,Clear / Markdown,1040.59,0.0,285.25572669213295,0.0,296834.2566385666,296834.2566385666
ST22,SKU03592,Dairy & Bakery,Cheese,PureLife,468,79,38,58.60942604161759,7.985063693810632,LOW,HIGH,Clear / Markdown,202.54,0.0,409.3905739583824,0.0,82917.96684953077,82917.96684953077
ST01,SKU00500,Home & Kitchen,Home Decor,UrbanBite,0,54,24,661.1920425351109,0.0,HIGH,LOW,Reorder Now,781.21,661.1920425351109,0.0,516529.835548854,0.0,516529.835548854
ST20,SKU02728,Stationery & Office,Writing Instruments,PremiumSelect,124,41,18,65.7648580181156,1.8855054771933504,LOW,MEDIUM,Watch / Reduce Orders,156.97,0.0,58.2351419818844,0.0,9141.170236896394,9141.170236896394
ST08,SKU03428,Home & Kitchen,Home Decor,TrueTaste,84,21,5,56.59264580961126,1.4842917979589156,LOW,LOW,Healthy,255.7,0.0,27.407354190388737,0.0,0.0,0.0
ST11,SKU04894,Frozen Foods,Ready Meals,CleanWave,488,93,22,66.29155727953119,7.361420066544122,LOW,HIGH,Clear / Markdown,199.49,0.0,421.70844272046884,0.0,84126.61723830634,84126.61723830634
ST16,SKU01037,Beverages,Bottled Water,EliteHome,0,92,38,681.6910347035249,0.0,HIGH,LOW,Reorder Now,135.2,681.6910347035249,0.0,92164.62789191656,0.0,92164.62789191656
ST21,SKU01152,Personal Care,Skin Care,FamilyChoice,0,76,32,532.2825169399196,0.0,HIGH,LOW,Reorder Now,295.8,532.2825169399196,0.0,157449.16851082823,0.0,157449.16851082823
ST28,SKU02094,Beverages,Juices,CleanWave,291,62,16,61.676482034845044,4.718167936938998,LOW,HIGH,Clear / Markdown,192.47,0.0,229.32351796515496,0.0,44137.897502753374,44137.897502753374
ST26,SKU04236,Electronics & Accessories,Small Appliances,ValueChoice,377,85,24,61.05634762356916,6.174624173793018,LOW,HIGH,Clear / Markdown,1215.6,0.0,315.94365237643086,0.0,384061.1038287893,384061.1038287893
ST19,SKU01042,Dairy & Bakery,Milk,QuickBite,165,29,12,59.632986768101624,2.7669249679149126,LOW,HIGH,Clear / Markdown,59.55,0.0,105.36701323189837,0.0,6274.6056379595475,6274.6056379595475
ST15,SKU01337,Beverages,Coffee,ZestyCo,308,60,19,59.41212489124552,5.184126986937381,LOW,HIGH,Clear / Markdown,146.63,0.0,248.58787510875447,0.0,36450.44012719667,36450.44012719667
ST08,SKU02381,Home & Kitchen,Storage & Containers,SoftTouch,0,36,15,351.09261586187273,0.0,HIGH,LOW,Reorder Now,727.83,351.09261586187273,0.0,255535.73860274683,0.0,255535.73860274683
ST09,SKU01034,Home Care,Pest Control,HealthFirst,297,50,17,68.03451803451287,4.365431086751235,LOW,HIGH,Clear / Markdown,198.33,0.0,228.96548196548713,0.0,45410.72403821506,45410.72403821506
ST07,SKU00170,Apparel & Footwear,Men's Wear,ZestyCo,311,70,33,58.3713501445453,5.3279562530225695,LOW,HIGH,Clear / Markdown,909.39,0.0,252.62864985545468,0.0,229737.96789205194,229737.96789205194
ST19,SKU01981,Electronics & Accessories,Mobile Accessories,NatureBlend,95,30,13,58.99259971968587,1.6103714779719809,LOW,MEDIUM,Watch / Reduce Orders,452.19,0.0,36.00740028031413,0.0,16282.186332755246,16282.186332755246
ST15,SKU04491,Home & Kitchen,Storage & Containers,CrispKing,81,25,10,59.04113461076431,1.3719248543240592,LOW,LOW,Healthy,686.53,0.0,21.95886538923569,0.0,0.0,0.0
ST25,SKU00978,Health & Wellness,OTC Medicine,HomeStyle,129,22,5,66.05680994798946,1.952864513160256,LOW,MEDIUM,Watch / Reduce Orders,302.09,0.0,62.943190052010536,0.0,19014.50828281186,19014.50828281186
ST27,SKU03562,Stationery & Office,Office Supplies,CleanWave,270,79,38,58.79967857842139,4.591861835433331,LOW,HIGH,Clear / Markdown,31.22,0.0,211.20032142157862,0.0,6593.674034781684,6593.674034781684
ST25,SKU00749,Grocery,Flour & Atta,QuickBite,139,27,10,62.00752481432514,2.2416634177258414,LOW,HIGH,Clear / Markdown,91.03,0.0,76.99247518567486,0.0,7008.625016151983,7008.625016151983
ST14,SKU00331,Dairy & Bakery,Yogurt,FreshFarm,317,59,15,57.813326165438106,5.483164886463643,LOW,HIGH,Clear / Markdown,107.74,0.0,259.1866738345619,0.0,27924.772238935693,27924.772238935693
ST24,SKU03493,Stationery & Office,Office Supplies,CityFresh,318,58,22,60.194473228582794,5.282877030793594,LOW,HIGH,Clear / Markdown,120.23,0.0,257.8055267714172,0.0,30995.95848372749,30995.95848372749
ST22,SKU04652,Health & Wellness,First Aid,ValueChoice,111,21,9,58.47805571221306,1.8981479231502185,LOW,MEDIUM,Watch / Reduce Orders,739.21,0.0,52.52194428778694,0.0,38824.74643697499,38824.74643697499
ST03,SKU02387,Dairy & Bakery,Cheese,SunriseFoods,292,77,37,69.35620883157307,4.21014938560299,LOW,HIGH,Clear / Markdown,146.07,0.0,222.64379116842693,0.0,32521.57857597212,32521.57857597212
ST08,SKU04717,Home Care,Dishwashing,QuickBite,202,56,16,73.57411717539985,2.745530734924543,LOW,HIGH,Clear / Markdown,292.11,0.0,128.42588282460014,0.0,37514.484631893945,37514.484631893945
ST08,SKU00516,Electronics & Accessories,Batteries,GoldenHarvest,297,94,29,67.59282957210378,4.393957197533491,LOW,HIGH,Clear / Markdown,1441.14,0.0,229.40717042789623,0.0,330607.8495904584,330607.8495904584
ST01,SKU03546,Health & Wellness,OTC Medicine,PrimeCare,0,42,18,552.219493917449,0.0,HIGH,LOW,Reorder Now,310.3,552.219493917449,0.0,171353.7089625844,0.0,171353.7089625844
ST13,SKU00631,Home & Kitchen,Cookware,CrispKing,528,100,48,59.22664143458242,8.914906994738029,LOW,HIGH,Clear / Markdown,954.88,0.0,468.7733585654176,0.0,447622.30462694593,447622.30462694593
ST12,SKU03375,Dairy & Bakery,Butter & Ghee,EliteHome,379,92,45,65.87979637143792,5.75290181322289,LOW,HIGH,Clear / Markdown,66.76,0.0,313.1202036285621,0.0,20903.904794242808,20903.904794242808
ST24,SKU02217,Personal Care,Bath & Body,NutriPlus,233,59,21,59.079385207573665,3.9438460502146633,LOW,HIGH,Clear / Markdown,298.38,0.0,173.92061479242633,0.0,51894.43304176417,51894.43304176417
ST08,SKU01684,Grocery,Flour & Atta,HealthFirst,142,40,11,57.84260550470657,2.454937822405764,LOW,HIGH,Clear / Markdown,133.93,0.0,84.15739449529343,0.0,11271.19984475465,11271.19984475465
ST01,SKU02728,Stationery & Office,Writing Instruments,PremiumSelect,148,40,10,65.7648580181156,2.250442021166257,LOW,HIGH,Clear / Markdown,156.97,0.0,82.2351419818844,0.0,12908.450236896393,12908.450236896393
ST04,SKU04194,Dairy & Bakery,Cheese,ValueChoice,446,92,19,57.971913726038984,7.693380662016548,LOW,HIGH,Clear / Markdown,133.83,0.0,388.02808627396104,0.0,51929.79878604421,51929.79878604421
ST11,SKU00935,Snacks & Confectionery,Namkeen,NovaFresh,224,58,27,69.11749098933757,3.240858381774238,LOW,HIGH,Clear / Markdown,77.98,0.0,154.88250901066243,0.0,12077.738052651457,12077.738052651457
ST28,SKU04551,Home & Kitchen,Cookware,DailyBest,0,80,39,777.318505219876,0.0,HIGH,LOW,Reorder Now,1452.98,777.318505219876,0.0,1129428.2417143753,0.0,1129428.2417143753
ST21,SKU03609,Grocery,Pulses & Lentils,CityFresh,508,97,41,66.84830009606726,7.599295707893192,LOW,HIGH,Clear / Markdown,90.5,0.0,441.15169990393275,0.0,39924.228841305914,39924.228841305914
ST23,SKU02221,Grocery,Spices & Seasoning,DailyBest,152,35,15,59.32458704690323,2.562175441353274,LOW,HIGH,Clear / Markdown,87.43,0.0,92.67541295309677,0.0,8102.611354489251,8102.611354489251
ST09,SKU02094,Beverages,Juices,CleanWave,239,65,25,61.676482034845044,3.8750588897883866,LOW,HIGH,Clear / Markdown,192.47,0.0,177.32351796515496,0.0,34129.45750275337,34129.45750275337
ST28,SKU00350,Home Care,Laundry,BasicNeeds,96,31,14,58.94801074354349,1.6285536829674065,LOW,MEDIUM,Watch / Reduce Orders,368.24,0.0,37.05198925645651,0.0,13644.024523797545,13644.024523797545
ST03,SKU02279,Apparel & Footwear,Footwear,SmartBuy,435,78,24,58.596610329319894,7.42363760557562,LOW,HIGH,Clear / Markdown,1201.75,0.0,376.4033896706801,0.0,452342.7735367398,452342.7735367398
ST18,SKU03311,Personal Care,Bath & Body,QuickBite,412,80,28,65.68369476331898,6.2724851499992225,LOW,HIGH,Clear / Markdown,224.64,0.0,346.31630523668105,0.0,77796.49480836802,77796.49480836802
ST25,SKU02038,Dairy & Bakery,Milk,NutriPlus,69,22,5,57.442782786193014,1.2011952877844367,LOW,LOW,Healthy,56.9,0.0,11.557217213806986,0.0,0.0,0.0
ST30,SKU00167,Electronics & Accessories,Batteries,ZestyCo,195,56,24,59.13868217663878,3.2973342121077858,LOW,HIGH,Clear / Markdown,1652.67,0.0,135.86131782336122,0.0,224533.9241271344,224533.9241271344
ST09,SKU03491,Electronics & Accessories,Batteries,SoftTouch,125,22,10,58.79109930181901,2.1261721839607186,LOW,HIGH,Clear / Markdown,1930.26,0.0,66.208900698181,0.0,127800.39266167085,127800.39266167085
ST23,SKU01174,Home & Kitchen,Home Decor,NovaFresh,468,83,19,59.46079026090846,7.870732930834912,LOW,HIGH,Clear / Markdown,1462.83,0.0,408.5392097390915,0.0,597623.4121826352,597623.4121826352
ST28,SKU03504,Frozen Foods,Frozen Vegetables,NovaFresh,280,89,24,64.28146649560158,4.355843375464355,LOW,HIGH,Clear / Markdown,576.1,0.0,215.7185335043984,0.0,124275.44715188393,124275.44715188393
ST11,SKU01874,Health & Wellness,OTC Medicine,SparkleClean,488,85,36,58.399537519243296,8.356230558147804,LOW,HIGH,Clear / Markdown,243.42,0.0,429.60046248075673,0.0,104573.3445770658,104573.3445770658
ST24,SKU02567,Home Care,Air Fresheners,GreenValley,361,65,16,64.84722188590831,5.5669308491756295,LOW,HIGH,Clear / Markdown,234.63,0.0,296.1527781140917,0.0,69486.32632890933,69486.32632890933
ST15,SKU02747,Health & Wellness,OTC Medicine,NovaFresh,0,100,30,626.2797969620889,0.0,HIGH,LOW,Reorder Now,443.77,626.2797969620889,0.0,277924.1854978662,0.0,277924.1854978662
ST15,SKU00532,Beverages,Coffee,CleanWave,113,33,7,66.44583802390464,1.7006332279133416,LOW,MEDIUM,Watch / Reduce Orders,61.5,0.0,46.55416197609536,0.0,2863.0809615298645,2863.0809615298645
ST27,SKU01818,Home Care,Surface Cleaners,CleanWave,158,41,13,59.322257597955684,2.6634185278451854,LOW,HIGH,Clear / Markdown,301.8,0.0,98.67774240204432,0.0,29780.942656936975,29780.942656936975
ST25,SKU00991,Home & Kitchen,Cookware,PurePlus,189,46,23,58.953189565764326,3.2059334090679514,LOW,HIGH,Clear / Markdown,127.96,0.0,130.04681043423568,0.0,16640.7898631648,16640.7898631648
ST06,SKU04913,Health & Wellness,OTC Medicine,TrueTaste,0,26,9,674.216891310074,0.0,HIGH,LOW,Reorder Now,344.29,674.216891310074,0.0,232126.13350914538,0.0,232126.13350914538
ST04,SKU04315,Home Care,Laundry,HealthFirst,0,76,24,395.10862049826574,0.0,HIGH,LOW,Reorder Now,322.69,395.10862049826574,0.0,127497.60074858536,0.0,127497.60074858536
ST28,SKU04443,Grocery,Sugar & Salt,QuickBite,111,22,11,58.587197208078,1.894611882622972,LOW,MEDIUM,Watch / Reduce Orders,116.32,0.0,52.412802791922,0.0,6096.657220756367,6096.657220756367
ST26,SKU00169,Stationery & Office,Office Supplies,DailyBest,0,23,9,801.3699399299371,0.0,HIGH,LOW,Reorder Now,60.41,801.3699399299371,0.0,48410.7580711675,0.0,48410.7580711675
ST12,SKU02449,Stationery & Office,Notebooks,EverydayPlus,0,79,18,508.9019070259061,0.0,HIGH,LOW,Reorder Now,99.61,508.9019070259061,0.0,50691.718958850506,0.0,50691.718958850506
ST10,SKU03837,Dairy & Bakery,Eggs,GoldenHarvest,299,50,24,59.22568032786247,5.048485696488263,LOW,HIGH,Clear / Markdown,137.67,0.0,239.77431967213752,0.0,33009.73058926317,33009.73058926317
